a_tstamp,b_windspeed,c_temperature,d_solarflux,e_humidity,f_ma_5_windspeed,g_ma_5_temperature,h_ma_5_solarflux,i_ma_5_humidity,j_mm_5_windspeed,k_mm_5_temperature,l_mm_5_solarflux,m_mm_5_humidity,n_sd_5_windspeed,o_sd_5_temperature,p_sd_5_solarflux,q_sd_5_humidity,r_clearingprice
965133900,8.50735,61.3814,3.44711,0.68031,10.028456,62.26336,7.54802,0.660688,9.94039,62.3882,6.86448,0.66094,1.143305784,0.5121728208,3.5242379953,0.0137902798,0.14
965134800,7.91316,60.8245,2.48074,0.68875,9.265108,61.86062,5.416708,0.67025,9.17144,62.062,4.57144,0.67,1.0199809033,0.6694004075,2.6010032184,0.013350597,0.14
965135700,7.38888,60.3914,1.67235,0.69531,8.584244,61.4095,3.807224,0.679062,8.50735,61.3814,3.44711,0.68031,0.9021189091,0.7433911702,1.8098491227,0.0124091827,0.14
965136600,6.9345,60.082,1.02193,0.7,7.983066,60.94826,2.638714,0.686874,7.91316,60.8245,2.48074,0.68875,0.7930373238,0.7076500593,1.2618826849,0.0107218965,0.14
965137500,6.55003,60.082,0.67064,0.7,7.458784,60.55226,1.858554,0.692874,7.38888,60.3914,1.67235,0.69531,0.6944843152,0.495933994,1.0056218874,0.0075147231,0.14
965138400,6.23546,60.082,0.38323,0.7,7.004406,60.29238,1.245778,0.696812,6.9345,60.082,1.02193,0.7,0.5960329585,0.2917998931,0.752592255,0.0044213545,0.14
965139300,5.9908,60.082,0.15968,0.7,6.619934,60.14388,0.781566,0.699062,6.55003,60.082,0.67064,0.7,0.4977441381,0.12376,0.5308463677,0.001876,0.14
965140200,5.81603,60.082,0,0.7,6.305364,60.082,0.447096,0.7,6.23546,60.082,0.38323,0.7,0.3997395154,7.105427357601E-15,0.3652362807,0,0.14
965141100,6.04672,60.082,0,0.7,6.127808,60.082,0.24271,0.7,6.04672,60.082,0.15968,0.7,0.2499649365,7.105427357601E-15,0.2559610222,0,0.14
965142000,6.12361,60.082,0,0.7,6.042524,60.082,0.108582,0.7,6.04672,60.082,0,0.7,0.139851171,7.105427357601E-15,0.1506072254,0,0.14
965142900,6.04672,60.082,0,0.7,6.004776,60.082,0.031936,0.7,6.04672,60.082,0,0.7,0.1034026101,7.105427357601E-15,0.063872,0,0.14
965143800,5.81603,60.082,0,0.7,5.969822,60.082,0,0.7,6.04672,60.082,0,0.7,0.1286711407,7.105427357601E-15,0,0,0.14
965144700,4.84437,60.1832,0,0.69813,5.77549,60.10224,0,0.699626,6.04672,60.082,0,0.7,0.4768536266,0.04048,0,0.000748,0.14
965145600,4.11037,60.217,0,0.6975,5.38822,60.12924,0,0.699126,5.81603,60.082,0,0.7,0.7856354808,0.0588359618,0,0.0010888085,0.16
965146500,3.61405,60.1832,0,0.69813,4.886308,60.14948,0,0.698752,4.84437,60.1832,0,0.69813,0.9416387844,0.0564626036,0,0.001044632,0.3
965147400,3.3554,60.082,0,0.7,4.348044,60.14948,0,0.698752,4.11037,60.1832,0,0.69813,0.8924013254,0.0564626036,0,0.001044632,0.3
965148300,3.5022,59.8964,0,0.70125,3.885278,60.11236,0,0.699002,3.61405,60.1832,0,0.69813,0.542514138,0.1170867986,0,0.0014018759,0.3
965149200,3.77483,59.6545,0,0.705,3.67137,60.00662,0,0.700376,3.61405,60.082,0,0.7,0.2589077379,0.2084511108,0,0.0026684273,0.3
965150100,4.17328,59.3564,0,0.71125,3.683952,59.8345,0,0.703126,3.61405,59.8964,0,0.70125,0.2805591554,0.2992187026,0,0.0046424674,0.3
965151000,4.69757,59.002,0,0.72,3.900656,59.59826,0,0.7075,3.77483,59.6545,0,0.705,0.4860656829,0.3847277042,0,0.0073739406,0.3
965151900,6.29138,58.507,0,0.73594,4.487852,59.28326,0,0.714688,4.17328,59.3564,0,0.71125,0.9874776622,0.490060411,0,0.0123783834,0.3
965152800,7.38189,58.012,0,0.75125,5.26379,58.90638,0,0.724688,4.69757,59.002,0,0.72,1.3615511631,0.5883476333,0,0.0168660717,0.14
965153700,7.96909,57.517,0,0.76594,6.102642,58.47888,0,0.736876,6.29138,58.507,0,0.73594,1.4732542664,0.6614645399,0,0.0199684517,0.14
965154600,8.05297,57.022,0,0.78,6.87858,58.012,0,0.750626,7.38189,58.012,0,0.75125,1.2588354419,0.7000357134,0,0.0212196622,0.14
965155500,6.31235,56.4426,0,0.79063,7.201536,57.50012,0,0.764752,7.38189,57.517,0,0.76594,0.7701483301,0.7243011374,0,0.0195755924,0.14
965156400,4.94922,55.9195,0,0.8025,6.933104,56.98262,0,0.778064,7.38189,57.022,0,0.78,1.1704620436,0.7441211848,0,0.0180263836,0.14
965157300,3.96357,55.4526,0,0.81563,6.24944,56.47074,0,0.79094,6.31235,56.4426,0,0.79063,1.6204720273,0.7402450989,0,0.0172511414,0.16
965158200,3.3554,55.042,0,0.83,5.326702,55.97574,0,0.803752,4.94922,55.9195,0,0.8025,1.6906029855,0.7016162815,0,0.017708508,0.3
965159100,3.71192,54.5695,0,0.85688,4.458492,55.48524,0,0.819128,3.96357,55.4526,0,0.81563,1.0674017943,0.6544045739,0,0.0229968532,0.3
965160000,4.05445,54.232,0,0.8775,4.006912,55.04312,0,0.836502,3.96357,55.042,0,0.83,0.5298246735,0.6029840111,0,0.0273135544,0.3
965160900,4.383,54.0295,0,0.89188,3.893668,54.66512,0,0.854378,3.96357,54.5695,0,0.85688,0.3443683268,0.5220942804,0,0.028435827,0.3
965161800,4.69757,53.962,0,0.9,4.040468,54.367,0,0.871252,4.05445,54.232,0,0.8775,0.4746722361,0.3981927925,0,0.0252953801,0.3
965162700,4.87233,54.7045,0,0.88406,4.343854,54.2995,0,0.882064,4.383,54.232,0,0.88406,0.4216703822,0.2926730257,0,0.0146772063,0.3
965163600,5.11699,55.132,0,0.87375,4.624868,54.412,0,0.885438,4.69757,54.232,0,0.88406,0.3721784274,0.4438834306,0,0.0095401392,0.3
965164500,5.43156,55.2445,0,0.86906,4.90029,54.6145,0,0.88375,4.87233,54.7045,0,0.88406,0.3573997222,0.5368030365,0,0.0113670717,0.16
965165400,5.81603,55.042,0,0.87,5.186896,54.817,0,0.879374,5.11699,55.042,0,0.87375,0.3997370672,0.4639585111,0,0.0116040538,0.16
965166300,6.68984,53.4107,0,0.89719,5.58535,54.70674,0,0.878812,5.43156,55.042,0,0.87375,0.6363208934,0.6726300398,0,0.0106176182,0.16
965167200,7.35393,52.207,0,0.91625,6.08167,54.20724,0,0.88525,5.81603,55.042,0,0.87375,0.8261151712,1.2052675763,0,0.0186037211,0.14
965168100,7.80831,51.4307,0,0.92719,6.619934,53.46698,0,0.895938,6.68984,53.4107,0,0.89719,0.8960322426,1.5084706579,0,0.0236052498,0.14
